Frame,Prediction,Confidence,FPS
262,crocodile,0.9585,0.89
263,crocodile,0.9578,0.9
264,crocodile,0.9481,0.75
265,crocodile,0.9694,0.85
266,crocodile,0.952,0.87
267,crocodile,0.9512,0.81
268,crocodile,0.9657,0.87
269,crocodile,0.9696,0.73
270,crocodile,0.9399,0.87
271,crocodile,0.9394,0.87
272,crocodile,0.9696,0.89
273,crocodile,0.9371,0.88
274,crocodile,0.9289,0.7
275,crocodile,0.8819,0.89
276,crocodile,0.8087,0.86
277,crocodile,0.7437,0.88
278,crocodile,0.8269,0.82
279,crocodile,0.8349,0.87
280,crocodile,0.7981,0.81
281,crocodile,0.8223,0.86
282,crocodile,0.8644,0.86
283,crocodile,0.8908,0.77
284,crocodile,0.8675,0.9
285,crocodile,0.8691,0.85
286,crocodile,0.8858,0.87
287,crocodile,0.8719,0.8
288,crocodile,0.896,0.79
289,crocodile,0.9198,0.84
290,crocodile,0.8102,0.73
291,crocodile,0.8463,0.81
292,crocodile,0.805,0.75
293,crocodile,0.7983,0.93
294,crocodile,0.802,0.86
295,crocodile,0.8549,0.83
296,crocodile,0.7889,0.83
297,crocodile,0.7169,0.87
298,crocodile,0.6283,0.85
299,crocodile,0.6862,0.82
300,non-crocodile,0.9989,0.9
301,non-crocodile,0.9987,0.75
302,non-crocodile,0.9988,0.88
303,non-crocodile,0.9991,0.8
304,non-crocodile,0.9993,0.79
305,non-crocodile,0.999,0.61
306,non-crocodile,0.9987,0.5
307,non-crocodile,0.9995,0.45
308,non-crocodile,0.9985,0.49
309,non-crocodile,0.9984,0.47
310,non-crocodile,0.9984,0.45
311,non-crocodile,0.9983,0.48
312,non-crocodile,0.9978,0.45
313,non-crocodile,0.9963,0.49
314,non-crocodile,0.9975,0.46
315,non-crocodile,0.9979,0.47
316,non-crocodile,0.9996,0.49
317,non-crocodile,0.9994,0.48
318,non-crocodile,0.9995,0.49
319,non-crocodile,0.9995,0.47
320,non-crocodile,0.9994,0.5
321,non-crocodile,0.9991,0.45
322,non-crocodile,0.9993,0.49
323,non-crocodile,0.9994,0.48
324,non-crocodile,0.9992,0.49
325,non-crocodile,0.9991,0.46
326,non-crocodile,0.9995,0.49
327,non-crocodile,0.9996,0.49
328,non-crocodile,0.9996,0.46
329,non-crocodile,0.9997,0.49
330,non-crocodile,0.9991,0.47
331,non-crocodile,0.999,0.49
332,non-crocodile,0.9982,0.47
333,non-crocodile,0.9993,0.47
334,non-crocodile,0.9993,0.44
335,non-crocodile,0.9986,0.49
336,non-crocodile,0.9961,0.46
337,non-crocodile,0.998,0.49
338,non-crocodile,0.9944,0.46
339,non-crocodile,0.9814,0.48
340,non-crocodile,0.8853,0.49
341,non-crocodile,0.8063,0.46
342,non-crocodile,0.735,0.49
343,non-crocodile,0.7363,0.47
344,non-crocodile,0.6677,0.49
345,non-crocodile,0.688,0.47
346,non-crocodile,0.5563,0.49
347,crocodile,0.6011,0.48
348,crocodile,0.7043,0.49
349,crocodile,0.597,0.46
350,crocodile,0.6918,0.48
351,non-crocodile,0.6636,0.46
352,non-crocodile,0.6052,0.5
353,non-crocodile,0.7775,0.47
354,non-crocodile,0.9418,0.5
355,non-crocodile,0.9822,0.47
356,non-crocodile,0.9935,0.5
357,non-crocodile,0.9792,0.47
358,non-crocodile,0.7311,0.49
359,non-crocodile,0.5966,0.46
360,crocodile,0.6611,0.48
361,crocodile,0.643,0.45
362,crocodile,0.7932,0.49
363,crocodile,0.7194,0.47
364,non-crocodile,0.5415,0.46
365,non-crocodile,0.616,0.49
366,non-crocodile,0.5976,0.48
367,crocodile,0.6518,0.5
368,crocodile,0.5378,0.47
369,crocodile,0.7315,0.5
370,crocodile,0.8395,0.46
371,crocodile,0.8964,0.5
372,crocodile,0.8403,0.47
373,crocodile,0.8567,0.5
374,crocodile,0.9176,0.48
375,crocodile,0.8186,0.49
376,crocodile,0.8198,0.48
377,crocodile,0.8022,0.48
378,crocodile,0.8607,0.48
379,crocodile,0.8924,0.5
380,crocodile,0.8739,0.45
381,crocodile,0.9661,0.49
382,crocodile,0.9712,0.48
383,crocodile,0.9782,0.46
384,crocodile,0.9952,0.5
385,crocodile,0.9947,0.46
386,crocodile,0.961,0.5
387,crocodile,0.9699,0.47
388,crocodile,0.9677,0.47
389,crocodile,0.9478,0.46
390,crocodile,0.9698,0.49
391,crocodile,0.9267,0.47
392,crocodile,0.948,0.47
393,crocodile,0.9745,0.45
394,crocodile,0.9031,0.45
395,crocodile,0.8963,0.48
396,crocodile,0.9397,0.45
397,crocodile,0.938,0.49
398,crocodile,0.9354,0.47
399,crocodile,0.96,0.45
400,crocodile,0.949,0.49
401,crocodile,0.9277,0.45
402,crocodile,0.9684,0.45
403,crocodile,0.9775,0.47
404,crocodile,0.9862,0.45
405,crocodile,0.9922,0.46
406,crocodile,0.9894,0.48
407,crocodile,0.9976,0.44
408,crocodile,0.9987,0.46
409,crocodile,0.9993,0.49
410,crocodile,0.999,0.48
411,crocodile,0.9985,0.48
412,crocodile,0.996,0.45
413,crocodile,0.9948,0.44
414,crocodile,0.9989,0.49
415,crocodile,0.9995,0.45
416,crocodile,0.9994,0.49
417,crocodile,0.9987,0.47
418,crocodile,0.9988,0.46
419,crocodile,0.998,0.5
420,crocodile,0.9986,0.45
421,crocodile,0.9991,0.49
422,crocodile,0.9989,0.49
423,crocodile,0.9987,0.45
424,crocodile,0.9992,0.5
425,crocodile,0.9992,0.42
426,crocodile,0.999,0.49
427,crocodile,0.9976,0.46
428,crocodile,0.9991,0.44
429,crocodile,0.9989,0.5
430,crocodile,0.9989,0.48
431,crocodile,0.9993,0.47
432,crocodile,0.9982,0.5
433,crocodile,0.9885,0.47
434,crocodile,0.9757,0.48
435,crocodile,0.934,0.46
436,crocodile,0.8288,0.49
437,crocodile,0.8232,0.48
438,crocodile,0.7202,0.49
439,crocodile,0.8145,0.47
440,crocodile,0.906,0.49
441,crocodile,0.9357,0.44
442,crocodile,0.9142,0.48
443,crocodile,0.8845,0.45
444,crocodile,0.9699,0.47
445,crocodile,0.9386,0.49
446,crocodile,0.9537,0.47
447,crocodile,0.9301,0.49
448,crocodile,0.8479,0.47
449,crocodile,0.716,0.49
450,crocodile,0.6922,0.44
451,non-crocodile,0.5815,0.48
452,non-crocodile,0.6207,0.45
453,non-crocodile,0.5587,0.47
454,non-crocodile,0.7079,0.48
455,non-crocodile,0.6044,0.45
456,crocodile,0.7622,0.46
457,crocodile,0.8045,0.48
458,crocodile,0.7212,0.45
459,crocodile,0.9645,0.45
460,crocodile,0.9722,0.49
461,crocodile,0.9794,0.44
462,crocodile,0.9872,0.48
463,crocodile,0.9883,0.49
464,crocodile,0.9944,0.46
465,crocodile,0.9925,0.49
466,crocodile,0.9969,0.46
467,crocodile,0.998,0.49
468,crocodile,0.9987,0.47
469,crocodile,0.9989,0.49
470,crocodile,0.9995,0.48
471,crocodile,0.9996,0.48
472,crocodile,0.9999,0.44
473,crocodile,0.9998,0.46
474,crocodile,0.9999,0.5
475,crocodile,0.9999,0.47
476,crocodile,0.9996,0.48
477,crocodile,0.9983,0.48
478,crocodile,0.9995,0.5
479,crocodile,0.9996,0.48
480,crocodile,0.9995,0.5
481,crocodile,0.9995,0.47
482,crocodile,0.9988,0.49
483,crocodile,0.9957,0.47
484,crocodile,0.9985,0.5
485,crocodile,0.99,0.47
486,crocodile,0.9775,0.48
487,crocodile,0.9918,0.48
488,crocodile,0.9491,0.49
489,crocodile,0.9364,0.48
490,crocodile,0.9871,0.49
491,crocodile,0.9574,0.47
492,crocodile,0.9926,0.5
493,crocodile,0.9722,0.47
494,crocodile,0.9727,0.5
495,crocodile,0.9804,0.47
496,crocodile,0.9474,0.49
497,crocodile,0.9892,0.47
498,crocodile,0.9909,0.48
499,crocodile,0.9797,0.48
500,crocodile,0.9679,0.49
501,crocodile,0.9781,0.47
502,crocodile,0.9736,0.5
503,crocodile,0.9844,0.47
504,crocodile,0.9592,0.5
505,crocodile,0.9419,0.47
506,crocodile,0.945,0.49
507,crocodile,0.8215,0.46
508,crocodile,0.9216,0.48
509,crocodile,0.8707,0.48
510,crocodile,0.9303,0.44
511,crocodile,0.9173,0.48
512,crocodile,0.9655,0.44
513,crocodile,0.9636,0.47
514,crocodile,0.9517,0.49
515,crocodile,0.9636,0.46
516,crocodile,0.9231,0.48
517,crocodile,0.9526,0.49
518,crocodile,0.9531,0.46
519,crocodile,0.9127,0.49
520,crocodile,0.7785,0.44
521,crocodile,0.7408,0.49
522,crocodile,0.803,0.48
523,crocodile,0.8237,0.49
524,crocodile,0.831,0.47
525,crocodile,0.9387,0.48
526,non-crocodile,0.62,0.45
527,crocodile,0.5065,0.45
528,crocodile,0.7409,0.48
529,non-crocodile,0.673,0.45
530,non-crocodile,0.5569,0.46
531,non-crocodile,0.6258,0.5
532,non-crocodile,0.7567,0.47
533,crocodile,0.5228,0.5
534,crocodile,0.79,0.47
535,crocodile,0.7731,0.48
536,crocodile,0.8059,0.48
537,crocodile,0.9284,0.49
538,crocodile,0.8678,0.49
539,crocodile,0.9223,0.5
540,crocodile,0.957,0.46
541,crocodile,0.9789,0.49
542,crocodile,0.9807,0.47
543,crocodile,0.9858,0.49
544,crocodile,0.988,0.46
545,crocodile,0.9893,0.45
546,crocodile,0.9184,0.47
547,crocodile,0.9198,0.46
548,crocodile,0.9465,0.48
549,crocodile,0.9453,0.45
550,crocodile,0.947,0.46
551,crocodile,0.9565,0.49
552,crocodile,0.9547,0.47
553,crocodile,0.9282,0.5
554,crocodile,0.9252,0.45
555,crocodile,0.9359,0.48
556,crocodile,0.9432,0.44
557,crocodile,0.9606,0.46
558,crocodile,0.9579,0.49
559,crocodile,0.9705,0.47
560,crocodile,0.9592,0.5
561,crocodile,0.9589,0.46
562,crocodile,0.9692,0.49
563,crocodile,0.9705,0.43
564,crocodile,0.9695,0.47
565,crocodile,0.9674,0.49
566,crocodile,0.9695,0.46
567,crocodile,0.9717,0.49
568,crocodile,0.9815,0.43
569,crocodile,0.9767,0.47
570,crocodile,0.979,0.48
571,crocodile,0.9821,0.44
572,crocodile,0.9805,0.46
573,crocodile,0.9838,0.48
574,crocodile,0.9833,0.44
575,crocodile,0.9784,0.45
576,crocodile,0.9804,0.5
577,crocodile,0.9837,0.47
578,crocodile,0.9842,0.49
579,crocodile,0.9896,0.48
580,crocodile,0.9865,0.48
581,crocodile,0.9861,0.48
582,crocodile,0.99,0.49
583,crocodile,0.9869,0.47
584,crocodile,0.9885,0.49
585,crocodile,0.9917,0.47
586,crocodile,0.9916,0.49
587,crocodile,0.9933,0.48
588,crocodile,0.9904,0.49
589,crocodile,0.9896,0.47
590,crocodile,0.9902,0.49
591,crocodile,0.9899,0.45
592,crocodile,0.9924,0.49
593,crocodile,0.9936,0.46
594,crocodile,0.9932,0.47
595,crocodile,0.9931,0.49
596,crocodile,0.9916,0.46
597,crocodile,0.9946,0.49
598,crocodile,0.9913,0.48
599,crocodile,0.9939,0.49
600,crocodile,0.9928,0.46
601,crocodile,0.9886,0.5
602,crocodile,0.9885,0.46
603,crocodile,0.9849,0.49
604,crocodile,0.9873,0.48
605,crocodile,0.9845,0.49
606,crocodile,0.9834,0.48
607,crocodile,0.9788,0.47
608,crocodile,0.9741,0.46
609,crocodile,0.974,0.44
610,crocodile,0.9785,0.47
611,crocodile,0.9741,0.48
612,crocodile,0.9785,0.44
613,crocodile,0.9823,0.49
614,crocodile,0.9817,0.47
615,crocodile,0.9746,0.5
616,crocodile,0.9745,0.48
617,crocodile,0.9845,0.48
618,crocodile,0.9887,0.48
619,crocodile,0.9814,0.44
620,crocodile,0.9757,0.44
621,crocodile,0.9779,0.44
622,crocodile,0.9811,0.44
623,crocodile,0.9885,0.45
624,crocodile,0.9817,0.41
625,crocodile,0.9879,0.46
626,crocodile,0.9898,0.45
627,crocodile,0.9879,0.42
628,crocodile,0.9822,0.41
629,crocodile,0.9835,0.46
630,crocodile,0.9702,0.46
631,crocodile,0.9787,0.49
632,crocodile,0.9772,0.47
633,crocodile,0.9673,0.48
634,crocodile,0.9686,0.45
635,crocodile,0.9698,0.45
636,crocodile,0.9606,0.49
637,crocodile,0.9835,0.48
638,crocodile,0.9832,0.49
639,crocodile,0.9847,0.48
640,crocodile,0.9889,0.47
641,crocodile,0.9903,0.46
642,crocodile,0.9798,0.45
643,crocodile,0.9903,0.48
644,crocodile,0.9859,0.47
645,crocodile,0.9879,0.48
646,crocodile,0.9826,0.44
647,crocodile,0.9846,0.46
648,crocodile,0.9851,0.49
649,crocodile,0.9918,0.47
650,crocodile,0.9905,0.48
651,crocodile,0.9921,0.45
652,crocodile,0.9915,0.45
